prefecture,name,address,landmark,lat,lng,geocode_status,geocoded_address
青森県,第8橙鳳(ネクルエール),青森県西津軽郡深浦町,白神岳(1235m),40.6473448,139.927454,ok,"深浦町, 西津軽郡, 青森県, 日本"
岩手県,第3白龍(シジキルチニ),岩手県下閉伊郡岩泉町,安家(アッカ)鍾乳洞,39.8438742,141.7943977,ok,"岩手県立岩泉高等学校, 国道455号, 太田, 岩泉, 岩泉町, 下閉伊郡, 岩手県, 027-0595, 日本"
岩手県,第6白龍(ゾンヤワルネ),岩手県八幡平市,八幡平山頂(1614m),39.9564706,141.0709451,ok,"八幡平市, 岩手県, 028-7397, 日本"
岩手県,第3白銀鳳(ダウギゲルジ),岩手県盛岡市薮川,岩洞湖(レストハウスの北対岸周辺),39.818087,141.390724,ok,"薮川, 盛岡市, 岩手県, 日本"
岩手県,第1金鳳(キウリレルギ),岩手県西磐井郡平泉町,中尊寺境内の薬師如来堂の池,38.9922676,141.1207298,ok,"岩手県立平泉世界遺産ガイダンスセンター, 相川平泉線, 平泉町, 西磐井郡, 岩手県, 021-4199, 日本"
岩手県,第9紫鳳(プイルグエル),岩手県奥州市水沢中上野町,駒形神社の裏手の沢,39.1340217,141.1394852,ok,"水沢中上野町, 水沢東上野町, 水沢宮下町, 水沢, 奥州市, 岩手県, 023-0801, 日本"
岩手県,第4群青龍(ナイラ),岩手県西磐井郡平泉町,達谷窟(たっこくのいわや)の池,38.9922676,141.1207298,ok,"岩手県立平泉世界遺産ガイダンスセンター, 相川平泉線, 平泉町, 西磐井郡, 岩手県, 021-4199, 日本"
岩手県,第2青鳳(ヨイウオヒレ),岩手県宮古市重茂大平,魹(とど)ヶ崎の岩場(本州最東端),39.5895173,142.0036958,ok,"熊の平大橋, 重茂半島線, 音部, 宮古市, 岩手県, 027-0111, 日本"
岩手県,第8緑麟(ルエガレイオ),岩手県八幡平市八幡平山頂部,八幡沼(標高1560m)の湿地沼,,,failed,
岩手県,第8黄武(ラエアケール),岩手県下閉伊郡岩泉町岩泉神成,龍泉洞(第3地底湖の中),,,failed,
岩手県,第6橙龍(ノエルケール),岩手県一関市(宮城県栗原市),奥羽山脈の栗駒山(1626m),,,failed,
岩手県,第3黒鳳(セコエ),岩手県八幡平市高畑,「桜松神社」の境内の二本のカエデが一対になる縁結びの木に龍管が入力しており、また神社本殿の社の中に魔界ナグが開いている。,40.069717,141.061296,ok,"高畑, 八幡平市, 岩手県, 日本"
宮城県,第9白銀鳳(ヒリンニキリ),宮城県仙台市青葉区上愛子,月山池（がっさんいけ）,38.2701111,140.7557309,ok,"上愛子, 青葉区, 仙台市, 宮城県, 989-3128, 日本"
宮城県,第1金武(バエブヒルン),宮城県宮城郡松島町松島,松島五大堂(瑞巌寺)の小島,38.3670646,141.071251,ok,"松島, 松島町, 宮城郡, 宮城県, 日本"
宮城県,第3青龍(ヤエル),宮城県石巻市金華山鮎川浜,金華山島の最東端の海岸の岩場,,,failed,
宮城県,第3緑武(ケイルイア),宮城県大崎市鳴子温泉湯元,潟沼(かたぬま: カルデラ湖),38.7399981,140.7164343,ok,"鳴子温泉 湯元 吉祥, 10, 大崎市, 宮城県, 989-6823, 日本"
宮城県,第6赤武(ソキエオルン),宮城県登米市津山町,,38.626731,141.155046,ok,"米山町中津山, 登米市, 宮城県, 987-3331, 日本"
