prefecture,name,address,landmark
北海道,第1橙龍(ヌイキリクレ),北海道上川郡東川町ノカナン,大雪山連峰の旭岳(2290m)
北海道,第5橙麟(ルアニーエ),北海道釧路市阿寒町,雄阿寒岳(1370m)・阿寒湖
北海道,第5赤龍(レエエオオン),オホーツク海(宗谷岬から北西約30km沖合),
北海道,第1赤麟(ヘヨイリエリ),北太平洋(色丹島から北東に約150km沖合),
北海道,第8赤麟(ヘウエオオガ),北海道岩見沢市栗沢町,
北海道,第8赤鳳(ヨイクイール),日本海(積丹半島の神威岬から真西に約230km沖合),
北海道,第8赤武(スエレン),太平洋(北海道襟裳岬から真南に約20km沖合),
青森県,第2白武(ネフオリエン),青森県睦市川内町福浦山,川内ダムの水源地(縫道石山626m)川内川源流点
青森県,第5白銀武(ビメルニズワ),青森県下北郡東通村,尻屋埼(灯台)海岸突端部
青森県,第5銀鳳(ケウレコーケ),青森県東津軽郡外ヶ浜町,龍飛崎の先端岩石
青森県,第2群青龍(ハイコカエゲ),青森県十和田市奥瀬十和田湖,中山半島の錦ヶ浦から200m沖合の湖底
青森県,第3青武(ツイキケオリ),青森県北津軽郡中泊町小泊,小泊岬(権現岬)の突端の岩場
青森県,第1緑麟(リーヌプオン),青森県西津軽郡深浦町大字松神,十二湖の中の青池(マリンブルー)
青森県,第8黄麟(クエケフイル),青森県十和田市大字奥瀬,奥入瀬渓流の(阿修羅の流れ)付近
青森県,第8橙鳳(ネクルエール),青森県西津軽郡深浦町,白神岳(1235m)
岩手県,第3白龍(シジキルチニ),岩手県下閉伊郡岩泉町,安家(アッカ)鍾乳洞
岩手県,第6白龍(ゾンヤワルネ),岩手県八幡平市,八幡平山頂(1614m)
岩手県,第3白銀鳳(ダウギゲルジ),岩手県盛岡市薮川,岩洞湖(レストハウスの北対岸周辺)
岩手県,第1金鳳(キウリレルギ),岩手県西磐井郡平泉町,中尊寺境内の薬師如来堂の池
岩手県,第9紫鳳(プイルグエル),岩手県奥州市水沢中上野町,駒形神社の裏手の沢
岩手県,第4群青龍(ナイラ),岩手県西磐井郡平泉町,達谷窟(たっこくのいわや)の池
岩手県,第2青鳳(ヨイウオヒレ),岩手県宮古市重茂大平,魹(とど)ヶ崎の岩場(本州最東端)
岩手県,第8緑麟(ルエガレイオ),岩手県八幡平市八幡平山頂部,八幡沼(標高1560m)の湿地沼
岩手県,第8黄武(ラエアケール),岩手県下閉伊郡岩泉町岩泉神成,龍泉洞(第3地底湖の中)
岩手県,第6橙龍(ノエルケール),岩手県一関市(宮城県栗原市),奥羽山脈の栗駒山(1626m)
岩手県,第3黒鳳(セコエ),岩手県八幡平市高畑,「桜松神社」の境内の二本のカエデが一対になる縁結びの木に龍管が入力しており、また神社本殿の社の中に魔界ナグが開いている。
宮城県,第9白銀鳳(ヒリンニキリ),宮城県仙台市青葉区上愛子,月山池（がっさんいけ）
宮城県,第1金武(バエブヒルン),宮城県宮城郡松島町松島,松島五大堂(瑞巌寺)の小島
宮城県,第3青龍(ヤエル),宮城県石巻市金華山鮎川浜,金華山島の最東端の海岸の岩場
宮城県,第3緑武(ケイルイア),宮城県大崎市鳴子温泉湯元,潟沼(かたぬま: カルデラ湖)
宮城県,第6赤武(ソキエオルン),宮城県登米市津山町,
宮城県,第4黒武(チエヌ),宮城県仙台市青葉区川内,「宮城縣護國神社」の拝殿の裏側の正面から左手の杉の木に龍管が入力しており、また魔界ナグは本殿の御身体に開いている。
秋田県,第3銀龍(カイクビオケ),秋田県仙北町西木町,田沢湖の湖底(御座石神社湖岸から200m沖合)： 【ヤエゲリア龍神】
秋田県,第5金鳳(ラエルヨーヌ),秋田県大仙市協和,唐松神社(天日宮)の池(池中央に高天原石碑)
秋田県,第6青麟(ババ・ニエヒーオ),秋田県男鹿市北浦入道崎昆布浦,入道崎の突端の岩場
秋田県,第1緑龍(ヘクエヨルン),秋田県仙北市西木町桧木内相内潟,田沢湖北岸の湖底(御座石神社)
秋田県,第3緑鳳(ヌイエン),秋田県雄勝郡東成瀬村椿川,須川(すかわ)湖栗駒国定公園
秋田県,第1橙鳳(ノニリヤヌイ),秋田県秋田市(上小阿仁村),太平山(1170m)
秋田県,第9黒龍(クオオワルエ),秋田県鹿角市十和田毛馬内毛馬内沢,「(鹿角市)月山神社」の本殿正面から右側の狛犬の背後の二本目の杉の木に龍管が入力し、魔界ナグは本殿の御身体に開いている。： 【ヤエゲリア龍神】
山形県,第5白麟(ニエガ・ケケ),山形県飽海郡遊佐町,鳥海山(出羽富士)山頂(2236m)
山形県,第4白銀龍(ギオイブオリ),山形県鶴岡市,月山(1984m)九合目の月山真名井神社(佛生池)
山形県,第6金龍(ヒールボエゲ),山形県西村山郡西川町,湯殿山(出羽三山の一つ: 1500m)の山頂(湯殿山神社)
山形県,第8金武(ビエゴハエル),山形県鶴岡市三瀬宮ノ前,気比神社の海岸線の岩場
山形県,第8群青鳳(ナエオイーギ),山形県西置賜郡小国町字小渡,赤芝峡眺望台(JR鉄橋眼下付近)
山形県,第4黄武(ルオヌリ),山形県山県市大字山寺,面白山紅葉川渓谷の毘沙門淵
山形県,第4橙鳳(ヌフエル),山形県長井市(小国町),祝瓶(いわいがめ)山(1417m)
山形県,第7黒龍(ホリヌ),山形県米沢市大字大沢(県道232号線沿い),「大沢の雪舟(そり)大明神」の石碑のうち、一番大きい右側の石碑に龍管が入力し、左がわの三個の石碑のうち、真ん中の苔むした石碑に魔界ナグが開いている。
福島県,第4白武(ブエアオイ・ゲア),福島県南会津郡檜枝岐村,大津岐川(小ヨッピ沢)の源流点湿地
福島県,第8白銀武(ヨビエオーレ),福島県会津若松市港町,猪苗代湖(西湖岸)田面浜付近
福島県,第6銀龍(ヌオ・ユオベ),福島県南会津郡檜枝岐村,三条の滝(100m)の滝壺
福島県,第9金龍(ハアー・ゲ),福島県耶麻郡北塩原村,毘沙門沼(裏磐梯の湖沼の一つ)
福島県,第4紫龍(ズズジ・ダガ),福島県郡山市湖南町福良,隠津島(おきつしま)神社(お菅様)の滝
福島県,第6紫鳳(ホエボニオル),福島県福島市飯坂町茂庭,摺上川渓谷の滑滝(なめたき)の滝壺
福島県,第7青鳳(フ・へへル),福島県いわき市平簿磯宿崎,塩屋埼灯台の海岸岩場
福島県,第3緑麟(ルイヒケ),福島県耶麻郡北塩原村大字檜原,五色沼湖沼群(瑠璃沼)
福島県,第6緑鳳(ヌーオイイ),福島県南会津郡檜枝岐村,尾瀬沼(1660m)
福島県,第3黄鳳(テーコヒーリ),福島県東白川郡矢祭町,滝川渓谷のおぼろ滝の滝壺
福島県,第7橙麟(ルアゲイル),福島県福島市,安達太良連峰北端の鬼面山(1482m)
福島県,第6赤龍(レオピグエン),福島県南会津郡南会津町(会津高原スキー場),
福島県,第4赤鳳(ヨイオクル),福島県南相馬市鹿島区,
福島県,第7赤武(ソケイウエオ),太平洋(福島県南相馬市から東北東に約80km沖合),
茨城県,第4白龍(セヌソサルン),茨城県久慈郡大子町,(奥久慈)男体山の山頂岩峰(654m)
茨城県,第7銀鳳(ヘイルキケル),茨城県東沖合約400km,日本海溝の底の割れ目(水深7700m)
茨城県,第1銀武(ハクブイエガ),茨城県筑波市,筑波山(877m女体峰)山頂(筑波神社)
茨城県,第7紫龍(オオ・ハジラ),茨城県日立市入四間町,御岩神社の不動池(三本杉は魔界ナグ)
茨城県,第2紫麟(ナデワヤヒン),茨城県北茨城市華川町花園,花園神社の境内の弁天池
茨城県,第7黄龍(フカエエール),茨城県常陸太田市下高倉町,竜神峡の亀ヶ淵の滝壺
茨城県,第9橙鳳(ヌイヌラエヌ),茨城県久慈郡(福島県東白川郡),八溝山(やみぞさん: 1021m)
